Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Cross Connection 2,Romantic Comedy,"A couple married for five years now wants to start a family. On the other hand, a couple is still in a dilemma about marriage after being in a relationship for ten years. When these two couples cross paths with each other, will one fill the void in the other's relationship?",U,1,2015,"Abhijit Guha, Sudeshna Roy","Ritwick Chakraborty, Tnusree Chakraborty, Shayan Munshi, Rimjhim Mitra","couple, married, five, years, now, wants, start, family, other, hand, couple, still, dilemma, marriage, relationship, ten, years, when, two, couples, cross, paths, each, other, one, fill, void, other, s, relationship",,
Punascha,Drama,"Famous writer Animesh and retired professor Mohini were in love once. 38 years later, they decide to spend a day together in Shantiniketan. What will be the consequence of Animesh and Mohona's decision?",U/A 7+,2,2014,Souvik Mitra,"Soumitra Chattopadhyay, Roopa Ganguly, Saayoni Ghosh","famous, writer, animesh, retired, professor, mohini, love, once, 38, years, later, decide, spend, day, together, shantiniketan, what, consequence, animesh, mohona, s, decision",,
Glamour,Thriller,"Aryan, the owner of one of the foremost fashion magazines in the city, falls prey to a ploy that lands him in jail. How will he prove his innocence in the murky world of fashion?",U/A 16+,4,2014,Mahua Chakraborty,"Parambrata Chattopadhyay, Parno Mittra, Sabyasachi Chakrabarty","aryan, owner, one, foremost, fashion, magazines, city, falls, prey, ploy, lands, jail, how, prove, innocence, murky, world, fashion",,
Kuler Achaar,Social Drama,"Mithi decides to not take her husband's name after marriage, but this doesn't sit well with her orthodox family and patriarchal society. All hell breaks loose when her mother-in-law decides to follow suit!",U,1,2022,Sudeep Das,"Madhumita Sarcar, Vikram Chatterjee, Indrani Haldar, Sujan Mukherjee","mithi, decides, not, take, husband, s, name, marriage, doesn, t, sit, well, orthodox, family, patriarchal, society, all, hell, breaks, loose, when, mother, law, decides, follow, suit",,
Korapaak,Romance,"Dev and Piyali are in love, but the notion of marriage confuses them. They decide to stage an experiment that can decide their suitability for marriage. Will they get their happily-ever-after?",U,1,2020,Souradip Banerjee,"Saurav Das, Paayel Sarkar","dev, piyali, love, notion, marriage, confuses, decide, stage, experiment, decide, suitability, marriage, get, happily, ever",,
Mandobasar Galpo,Psychological Thriller,"A filmmaker starts suffering from depression after the sudden death of her fiance. While Dr Sayantan Chowdhury, a renowned psychiatrist, helps her through her struggles, things start changing once she starts feeling attracted to a budding actor-musician.",U/A 13+ ,3,2017,Tathagata Banerjee,"Paoli Dam, Parambrata Chattopadhyay, Kaushik Sen, Indrasish Roy","filmmaker, starts, suffering, depression, sudden, death, fiance, dr, sayantan, chowdhury, renowned, psychiatrist, helps, struggles, things, start, changing, once, starts, feeling, attracted, budding, actor, musician",,
Babar Naam Gandhiji,Drama,"Kencho, a 10-year-old orphan, starts believing that Mahatma Gandhi is his father. When he gets adopted by an NGO and taught the ideals of Gandhiji there, he starts seeing modern society in contrast with those ideals.",U,1,2015,Pavel,"Parambrata Chattopadhyay, Saayoni Ghosh, Kaushik Sen","kencho, 10, year, old, orphan, starts, believing, mahatma, gandhi, father, when, gets, adopted, ngo, taught, ideals, gandhiji, there, starts, seeing, modern, society, contrast, ideals",,
Jhumura,Musical Drama,"This is the story of the passion and pain of Jhumur artists of Purulia, who are in the middle of a constant struggle to not only sustain their dying folk art, but also revive it in the hope of a brighter future. ",U,1,2014,Anindya Chatterjee,"Sohini Sarkar, Samadarshi Dutta","story, passion, pain, jhumur, artists, purulia, who, middle, constant, struggle, not, only, sustain, dying, folk, art, also, revive, hope, brighter, future",,
Ek Phali Rodh,Drama,A social scientist and his team are on a quest to develop a theory about human behaviour by creating a mock crisis on the streets and observing how people react to it. But their plan goes amiss when they face an actual crisis in their lives.,U,1,2014,Atanu Ghosh,"Dhritiman Chatterjee, Jisshu Sengupta, Ritwick Chakraborty, Aparajita Ghosh","social, scientist, team, quest, develop, theory, human, behaviour, creating, mock, crisis, streets, observing, how, people, react, plan, goes, amiss, when, face, actual, crisis, lives",,
Anubrata Bhalo Acho?,Drama,"Anubrata perceives death as his nemesis seeing his wife marching towards an inevitable end at a hospital in the face of cancer. His life takes a turn when he meets Jaya, who is tending to her ailing husband at the same hospital.",U/A 16+ ,4,2014,Partha Sen,"Ritwick Chakraborty, Swastika Mukherjee, Debleena Dutt","anubrata, perceives, death, nemesis, seeing, wife, marching, towards, inevitable, end, hospital, face, cancer, life, takes, turn, when, meets, jaya, who, tending, ailing, husband, same, hospital",,
Happy Pill,Drama,What if there was a cure for all our sorrows? This is the story of Siddhartha who discovers a magical pill that can bring back joy in everyone's lives.,U/A 7+,2,2018,Mainak Bhaumik,"Ritwick Chakraborty, Parno Mittra, Sohini Sarkar, Mir Afsar Ali","what, there, cure, all, sorrows, story, siddhartha, who, discovers, magical, pill, bring, back, joy, everyone, s, lives",,
Kangal Malsat,Political Satire,"The underdog Choktars, along with the Fyataroos, hatch a conspiracy against the corrupt communist regime and launch a guerilla attack against it. Based on Nabarun Bhattacharya's novel of the same name, the film is an allegory of any rebellion against a totalitarian regime. ",A 18+,5,2013,Suman Mukhopadhyay,"Kaushik Ganguly, Kabir Suman, Kamalika Banerjee, Jojo Mukherjee","underdog, choktars, along, fyataroos, hatch, conspiracy, against, corrupt, communist, regime, launch, guerilla, attack, against, based, nabarun, bhattacharya, s, novel, same, name, film, allegory, any, rebellion, against, totalitarian, regime",,
Tirandaj Shabor,Mystery,"When a cab driver rushes into a police station with an unwell passenger who is then discovered dead, the police smell foul. ACP-DD Shabor Dasgupta is the only man who can unravel the mystery. ",A 18+,5,2022,Arindam Sil,"Saswata Chatterjee, Subhrajit Datta, Nigel Akkara, Devlina Kumar, Chandan Sen","when, cab, driver, rushes, police, station, unwell, passenger, who, then, discovered, dead, police, smell, foul, acp, dd, shabor, dasgupta, only, man, who, unravel, mystery",,
Shororipu 2 : Jotugriho,Crime Thriller,"While Detective Chandrakanta investigates the death of a man, which seems to be the result of a crime of passion, the man's much younger widow appears to be hiding something. What secrets are waiting to unfold?",U/A 16+,4,2021,Ayan Chakraborti,"Chiranjeet Chakraborty, Saswata Chatterjee, Arunima Ghosh, Darshana Banik, Rajesh Sharma","detective, chandrakanta, investigates, death, man, which, seems, result, crime, passion, man, s, much, younger, widow, appears, hiding, something, what, secrets, waiting, unfold",,
X = Prem,Romantic Drama,"Khilat loses all memory of his loved one. Arnab lives every moment with the memory of his lost love. In this cradle of memories, who will be able to solve the equation of love?",A 18+,5,2022,Srijit Mukherji,"Anindya Sengupta, Shruti Das, Arjun Chakrabarty, Madhurima Basak","khilat, loses, all, memory, loved, one, arnab, lives, every, moment, memory, lost, love, cradle, memories, who, able, solve, equation, love",,
Tushagni,Political Thriller,CID officer Sudip and renowned actress Atrayee are happily married. Their life turns upside down when Atrayee gets kidnapped during their honeymoon in the jungles. Will Sudeep be able to find Atreyee in the labyrinth of the jungle?,U/A 16+ ,4,2019,Rana Banerjee,"Amrita Chattopadhyay, Arjun Chakrabarty, Soma Chakraborty, Debesh Roy Chowdhury","cid, officer, sudip, renowned, actress, atrayee, happily, married, life, turns, upside, when, atrayee, gets, kidnapped, during, honeymoon, jungles, sudeep, able, find, atreyee, labyrinth, jungle",,
The Eken,Mystery,"Detective Ekendra Sen is in Darjeeling with friends Bapi and Pramatha for a vacation. Here, he crosses paths with the charming actress Bipasha Mitra who gives him an unexpected proposal. The plot thickens when a murder takes place soon after.",U/A 7+,2,2022,Joydeep Mukherjee,"Anirban Chakrabarti, Somak Ghosal, Suhotra Mukhopadhyay, Paayel Sarkar, Debasish Mondal","detective, ekendra, sen, darjeeling, friends, bapi, pramatha, vacation, here, crosses, paths, charming, actress, bipasha, mitra, who, gives, unexpected, proposal, plot, thickens, when, murder, takes, place, soon",,
Punashcha,Drama,"Difficulties erupt between a married couple when their relationship gets hit by societal pressures, norms, and deep-rooted patriarchy. Watch the national award-winning movie 'Punashcha' on hoichoi.",U/A 7+,2,1961,Mrinal Sen,"Soumitra Chatterjee, Pahari Sanyal, Kanika Majumdar","difficulties, erupt, married, couple, when, relationship, gets, hit, societal, pressures, norms, deep, rooted, patriarchy, watch, national, award, winning, movie, punashcha, hoichoi",,
Bhagwan Sri Krishna Chaitanya,Devotional,"Watch Bhagwan Sri Krishna Chaitanya, a story of devotion and faith, starring the best Bengali actors of yesteryear - Suchitra Sen, Pahari Sanyal, Basanta Choudhury.",U,1,1953,Debaki Bose,"Suchitra Sen, Pahari Sanyal, Basanta Choudhury","watch, bhagwan, sri, krishna, chaitanya, story, devotion, faith, starring, best, bengali, actors, yesteryear, suchitra, sen, pahari, sanyal, basanta, choudhury",,
Ek Tuku Chhoa Lage,Romantic Comedy,"When two friends fall in love with the same girl, their friendship is tested. Watch this classic romantic comedy only on hoichoi.",U,1,1977,Kamal Majumdar,"Azra, Biswajit Chatterjee, Kishore Kumar, Chandrima Bhaduri, Raka Bhaduri, Samar Chattopadhyay","when, two, friends, fall, love, same, girl, friendship, tested, watch, classic, romantic, comedy, only, hoichoi",,
Sunayani,Drama,"Sunayani, a visually challenged young girl, serves as a caregiver for Arun, a rich young man who has been dealing with depression. After some time, Arun proposes marriage to Sunayani. Watch this classic romantic saga only on hoichoi.",U/A 13+,3,1979,Sukhen Das,"Uttam Kumar, Shakuntala Barua, Subhendu Chattopadhyay","sunayani, visually, challenged, young, girl, serves, caregiver, arun, rich, young, man, who, dealing, depression, some, time, arun, proposes, marriage, sunayani, watch, classic, romantic, saga, only, hoichoi",,
Shuk Sari,Drama,Shuk Sari is a realistic portrayal of an Indian marriage where freedom and responsibility don't stand in the way of the other. Watch this beautiful musical story only on hoichoi.,U/A 13+,3,1969,Sushil Majumdar,"Uttam Kumar, Anjana Bhowmik","shuk, sari, realistic, portrayal, indian, marriage, where, freedom, responsibility, don, t, stand, way, other, watch, beautiful, musical, story, only, hoichoi",,
Hothat Nirar Jonyo,Drama,Rani's college friend Abinash comes into her world of domestic bliss and asks for a day of her life to get over her memories. Rani is torn between her principles and her passion for Abinash. What will she choose? Watch Hothat Nirar Jonyo based on 'Rani o Abinash' by Sunil Gangopadhyay.,A 18+,5,2004,Subrata Sen,"Jaya Seal Ghosh, Bikram Ghosh, Arindam Sil","rani, s, college, friend, abinash, comes, world, domestic, bliss, asks, day, life, get, memories, rani, torn, principles, passion, abinash, what, choose, watch, hothat, nirar, jonyo, based, rani, o, abinash, sunil, gangopadhyay",,
Chirodiner,Romantic Drama,Chirodiner is a timeless love story starring the evergreen Uttam Kumar and the versatile Supriya Devi. Watch this classic tale of love only on hoichoi.,U,1,1969,Agradoot,"Uttam Kumar, Supriya Choudhury, Gita Dey","chirodiner, timeless, love, story, starring, evergreen, uttam, kumar, versatile, supriya, devi, watch, classic, tale, love, only, hoichoi",,
Amar Geeti,Musical Drama,"Ramnidhi Gupta, popularly known as Nidhu Babu, introduced Tappa, a form of light north Indian classical music, in Bengali. Amar Geeti is based on the life and times of the spirited Nidhu Babu and how he gave birth to the famous 'Nidhu Babur Tappa', an integral part of Bengali music and culture.",U/A 13+,3,1983,Tarun Majumdar,"Soumitra Chatterjee, Sandhya Ray, Biswajit Chatterjee, Rabi Ghosh","ramnidhi, gupta, popularly, known, nidhu, babu, introduced, tappa, form, light, north, indian, classical, music, bengali, amar, geeti, based, life, times, spirited, nidhu, babu, how, gave, birth, famous, nidhu, babur, tappa, integral, part, bengali, music, culture",,
Nishipadma,Drama,"Pushpa's uncle sells her off to a brothel in Calcutta. Pushpa's first customer, Ananga, an unhappily married man, falls in love with her on her first night there and starts visiting her regularly. Watch Nishipadma based on Bibhutibhushan Bandopadhyay's short story, Hinger Kochuri.",U/A 13+,3,1970,Arabinda Mukhopadhyay,"Uttam Kumar, Sabitri Chatterjee, Anup Kumar","pushpa, s, uncle, sells, brothel, calcutta, pushpa, s, first, customer, ananga, unhappily, married, man, falls, love, first, night, there, starts, visiting, regularly, watch, nishipadma, based, bibhutibhushan, bandopadhyay, s, short, story, hinger, kochuri",,
